heap,n,full,last
fibonacci,16,3383,221
fibonacci,16,3216,213
fibonacci,16,3153,219
fibonacci,16,3335,227
fibonacci,16,2863,194
fibonacci,16,3036,212
fibonacci,16,2981,195
fibonacci,16,2899,213
fibonacci,32,6817,251
fibonacci,32,6332,219
fibonacci,32,6696,220
fibonacci,32,6046,204
fibonacci,32,6297,205
fibonacci,32,7666,241
fibonacci,32,7652,252
fibonacci,32,7343,226
fibonacci,32,6278,202
fibonacci,32,6319,201
fibonacci,32,6072,207
fibonacci,32,5835,199
fibonacci,32,6172,224
fibonacci,32,7558,303
fibonacci,32,7279,244
fibonacci,32,6689,220
fibonacci,32,7541,286
fibonacci,32,7339,237
fibonacci,32,7494,226
fibonacci,32,6803,217
fibonacci,32,7069,244
fibonacci,32,8179,243
fibonacci,32,7041,231
fibonacci,32,7953,215
fibonacci,32,6498,204
fibonacci,32,7269,227
fibonacci,32,7262,263
fibonacci,32,7044,246
fibonacci,32,7605,247
fibonacci,32,7980,277
fibonacci,64,20832,289
fibonacci,64,16132,312
fibonacci,64,14224,290
fibonacci,64,15142,307
fibonacci,64,14494,209
fibonacci,64,13759,222
fibonacci,64,14912,238
fibonacci,64,13955,242
fibonacci,64,12713,236
fibonacci,64,14918,264
fibonacci,64,14915,223
fibonacci,64,15215,276
fibonacci,64,14753,269
fibonacci,64,14069,224
fibonacci,64,15314,260
fibonacci,64,14899,240
fibonacci,64,14557,229
fibonacci,64,19521,252
fibonacci,64,12456,215
fibonacci,64,12277,191
fibonacci,64,11948,217
fibonacci,64,12297,210
fibonacci,64,12342,191
fibonacci,64,14918,257
fibonacci,64,12734,193
fibonacci,64,12676,227
fibonacci,64,13009,229
fibonacci,64,12331,196
fibonacci,64,12684,213
fibonacci,64,12612,216
fibonacci,128,39051,224
fibonacci,128,25588,224
fibonacci,128,24618,198
fibonacci,128,25998,214
fibonacci,128,24046,210
fibonacci,128,24333,204
fibonacci,128,24675,216
fibonacci,128,35994,228
fibonacci,128,29080,268
fibonacci,128,28900,218
fibonacci,128,27177,219
fibonacci,128,28988,245
fibonacci,128,25610,199
fibonacci,128,24148,208
fibonacci,128,25418,228
fibonacci,128,25395,206
