heap,n,full,last
binomial,1048576,668645989,429
binomial,1048576,668136989,411
binomial,1048576,670959708,441
fibonacci,1,3397,325
fibonacci,1,301,256
fibonacci,1,246,262
fibonacci,1,232,252
fibonacci,1,235,239
fibonacci,1,230,326
fibonacci,1,230,240
fibonacci,1,231,249
fibonacci,1,231,240
fibonacci,1,250,318
fibonacci,1,242,243
fibonacci,1,259,230
fibonacci,1,247,236
fibonacci,1,244,230
fibonacci,1,234,212
fibonacci,1,229,206
fibonacci,1,225,222
fibonacci,1,228,221
fibonacci,1,224,214
fibonacci,1,224,217
fibonacci,1,228,204
fibonacci,1,226,218
fibonacci,1,230,261
fibonacci,1,242,223
fibonacci,1,259,234
fibonacci,1,241,231
fibonacci,1,248,220
fibonacci,1,210,223
fibonacci,1,229,217
fibonacci,1,226,207
fibonacci,2,435,258
fibonacci,2,422,194
fibonacci,2,403,214
fibonacci,2,415,211
fibonacci,2,459,233
fibonacci,2,767,243
fibonacci,2,518,272
fibonacci,2,478,221
fibonacci,2,462,244
fibonacci,2,504,235
fibonacci,2,448,255
fibonacci,2,479,229
fibonacci,2,716,221
fibonacci,2,480,225
fibonacci,2,461,248
fibonacci,2,468,229
fibonacci,2,534,239
fibonacci,2,524,243
fibonacci,2,450,218
fibonacci,2,436,216
fibonacci,2,430,230
fibonacci,2,579,228
fibonacci,2,594,226
fibonacci,2,423,221
fibonacci,2,508,224
fibonacci,2,604,232
fibonacci,2,472,215
fibonacci,2,459,226
fibonacci,2,498,226
fibonacci,2,467,226
fibonacci,4,1243,389
fibonacci,4,916,243
fibonacci,4,942,231
fibonacci,4,922,225
fibonacci,4,925,245
fibonacci,4,919,225
fibonacci,4,859,215
fibonacci,4,802,201
fibonacci,4,776,185
fibonacci,4,787,242
fibonacci,4,855,236
fibonacci,4,769,208
fibonacci,4,883,224
fibonacci,4,797,207
fibonacci,4,794,216
fibonacci,4,841,237
fibonacci,4,884,225
fibonacci,4,888,223
fibonacci,4,867,226
fibonacci,4,858,205
fibonacci,4,746,210
fibonacci,4,807,206
fibonacci,4,750,210
fibonacci,4,790,211
fibonacci,4,806,215
fibonacci,4,777,214
fibonacci,4,751,221
fibonacci,4,765,191
fibonacci,4,828,221
fibonacci,4,889,217
fibonacci,8,1720,272
fibonacci,8,1532,177
fibonacci,8,1623,219
fibonacci,8,1616,219
fibonacci,8,1686,255
fibonacci,8,1580,221
fibonacci,8,1663,228
fibonacci,8,1564,208
fibonacci,8,1423,178
fibonacci,8,1663,196
fibonacci,8,1529,199
fibonacci,8,1407,196
fibonacci,8,1441,211
fibonacci,8,1602,221
fibonacci,8,1687,254
